nfull,nabb,if
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,1.288
Russian Geology and Geophysics,RUSS GEOL GEOPHYS+,1.288
Bulletin of Engineering Geology and the Environment,B ENG GEOL ENVIRON,1.252
International Journal of Disaster Risk Reduction,INT J DISAST RISK RE,1.242
SOILS AND FOUNDATIONS,SOILS FOUND,1.238
PETROLOGY,PETROLOGY+,1.231
GEOSCIENCE CANADA,GEOSCI CAN,1.225
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,1.222
CANADIAN JOURNAL OF EARTH SCIENCES,CAN J EARTH SCI,1.19
International Journal of Astrobiology,INT J ASTROBIOL,1.184
POLISH POLAR RESEARCH,POL POLAR RES,1.182
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,NEW ZEAL J GEOL GEOP,1.164
Polar Science,POLAR SCI,1.157
PETROLEUM GEOSCIENCE,PETROL GEOSCI,1.122
ZEITSCHRIFT FUR GEOMORPHOLOGIE,Z GEOMORPHOL,1.103
Geoscientific Instrumentation Methods and Data Systems,GEOSCI INSTRUM METH,1.071
QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,Q J ENG GEOL HYDROGE,1.058
Geoheritage,GEOHERITAGE,1.045
Italian Journal of Geosciences,ITAL J GEOSCI,1.028
BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,B SOC GEOL FR,0.955
Journal of Earth Science,J EARTH SCI-CHINA,0.953
International Journal of Disaster Risk Science,INT J DISAST RISK SC,0.935
GEOSCIENCES JOURNAL,GEOSCI J,0.922
JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,0.922
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,B GEOL SOC DENMARK,0.889
PHYSICAL GEOGRAPHY,PHYS GEOGR,0.875
CLAY MINERALS,CLAY MINER,0.874
Journal of Earth System Science,J EARTH SYST SCI,0.858
ENVIRONMENTAL ARCHAEOLOGY,ENVIRON ARCHAEOL,0.857
JOURNAL OF CAVE AND KARST STUDIES,J CAVE KARST STUD,0.857
JOURNAL OF COASTAL RESEARCH,J COASTAL RES,0.852
Jokull,JOKULL,0.833
ACTA CARSOLOGICA,ACTA CARSOLOGICA,0.792
Frontiers of Earth Science,FRONT EARTH SCI-PRC,0.76
REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,REV MEX CIENC GEOL,0.736
Estonian Journal of Earth Sciences,EST J EARTH SCI,0.732
Central European Journal of Geosciences,CENT EUR J GEOSCI,0.726
JOURNAL OF COLD REGIONS ENGINEERING,J COLD REG ENG,0.72
Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,Z DTSCH GES GEOWISS,0.712
NORWEGIAN JOURNAL OF GEOLOGY,NORW J GEOL,0.69
Geomorphologie-Relief Processus Environnement,GEOMORPHOLOGIE,0.673
GEOTECHNICAL TESTING JOURNAL,GEOTECH TEST J,0.663
EARTH MOON AND PLANETS,EARTH MOON PLANETS,0.659
Austrian Journal of Earth Sciences,AUSTRIAN J EARTH SCI,0.618
QUATERNAIRE,QUATERNAIRE,0.614
Brazilian Journal of Geology,BRAZ J GEOL,0.598
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,P I CIVIL ENG-GEOTEC,0.577
SURVEY REVIEW,SURV REV,0.573
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,0.556
JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,J GEOL SOC INDIA,0.547
ERDE,ERDE,0.541
Russian Journal of Pacific Geology,RUSS J PAC GEOL,0.514
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,ENVIRON ENG GEOSCI,0.5
DOKLADY EARTH SCIENCES,DOKL EARTH SCI,0.46
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,0.39
Earth Sciences Research Journal,EARTH SCI RES J,0.302
History of Geo- and Space Sciences,HIST GEO- SPACE SCI,0.263
EARTH SCIENCES HISTORY,EARTH SCI HIST,0.188
ArcheoSciences-Revue d Archeometrie,ARCHEOSCIENCES-REV A,0.111
Open Geosciences,OPEN GEOSCI,Not Available
