nfull,nabb,if
Lipids in Health and Disease,LIPIDS HEALTH DIS,2.137
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,J INTERF CYTOK RES,2.135
BIOMETALS,BIOMETALS,2.134
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,2.124
MOLECULAR VISION,MOL VIS,2.11
FEBS Open Bio,FEBS OPEN BIO,2.101
JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,2.091
MAMMALIAN GENOME,MAMM GENOME,2.078
MOLECULAR AND BIOCHEMICAL PARASITOLOGY,MOL BIOCHEM PARASIT,2.068
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,J PHYSIOL BIOCHEM,2.054
TRANSGENIC RESEARCH,TRANSGENIC RES,2.054
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,2.039
CELL BIOCHEMISTRY AND FUNCTION,CELL BIOCHEM FUNCT,2.016
Channels,CHANNELS,2.008
PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,2.008
JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,1.991
MOLECULAR MEMBRANE BIOLOGY,MOL MEMBR BIOL,1.983
CELL COMMUNICATION AND ADHESION,CELL COMMUN ADHES,1.955
JOURNAL OF PEPTIDE SCIENCE,J PEPT SCI,1.951
LIPIDS,LIPIDS,1.892
CHEMOECOLOGY,CHEMOECOLOGY,1.863
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,1.847
PHYSICAL BIOLOGY,PHYS BIOL,1.837
International Journal of Genomics,INT J GENOMICS,1.83
GLYCOCONJUGATE JOURNAL,GLYCOCONJUGATE J,1.828
CARBOHYDRATE RESEARCH,CARBOHYD RES,1.817
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,CURR PHARM BIOTECHNO,1.802
JOURNAL OF CHEMICAL NEUROANATOMY,J CHEM NEUROANAT,1.8
BIOLOGICAL TRACE ELEMENT RESEARCH,BIOL TRACE ELEM RES,1.798
JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,1.797
JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,J RECEPT SIG TRANSD,1.782
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,1.753
MOLECULAR BIOTECHNOLOGY,MOL BIOTECHNOL,1.752
BIOMEDICAL CHROMATOGRAPHY,BIOMED CHROMATOGR,1.729
MOLECULAR BIOLOGY REPORTS,MOL BIOL REP,1.698
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1.674
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,1.651
CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,1.627
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,APPL BIOCHEM BIOTECH,1.606
NEUROSIGNALS,NEUROSIGNALS,1.593
MOLECULAR AND CELLULAR PROBES,MOL CELL PROBE,1.565
Biochemistry and Cell Biology,BIOCHEM CELL BIOL,1.527
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,1.488
DIAGNOSTIC MOLECULAR PATHOLOGY,DIAGN MOL PATHOL,1.474
LUMINESCENCE,LUMINESCENCE,1.452
CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,1.444
FISH PHYSIOLOGY AND BIOCHEMISTRY,FISH PHYSIOL BIOCHEM,1.442
JOURNAL OF MOLECULAR MODELING,J MOL MODEL,1.438
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,BIOTECHNOL APPL BIOC,1.429
BIOCHEMISTRY-MOSCOW,BIOCHEMISTRY-MOSCOW+,1.421
PROTEIN EXPRESSION AND PURIFICATION,PROTEIN EXPRES PURIF,1.407
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,1.357
Phytochemistry Letters,PHYTOCHEM LETT,1.353
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,J PLANT BIOCHEM BIOT,1.352
GENETICS AND MOLECULAR BIOLOGY,GENET MOL BIOL,1.341
GENES & GENETIC SYSTEMS,GENES GENET SYST,1.339
Journal of Zhejiang University-SCIENCE B,J ZHEJIANG UNIV-SC B,1.303
BMC BIOCHEMISTRY,BMC BIOCHEM,1.29
Statistical Applications in Genetics and Molecular Biology,STAT APPL GENET MOL,1.265
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,1.187
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,BIOSCI BIOTECH BIOCH,1.176
MAGNESIUM RESEARCH,MAGNESIUM RES,1.163
PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,PREP BIOCHEM BIOTECH,1.114
PROTEIN AND PEPTIDE LETTERS,PROTEIN PEPTIDE LETT,1.069
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,FOLIA HISTOCHEM CYTO,1.06
PROTEIN JOURNAL,PROTEIN J,1.029
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0.988
INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS,INDIAN J BIOCHEM BIO,0.958
BIOCHEMICAL GENETICS,BIOCHEM GENET,0.952
International Journal of Peptide Research and Therapeutics,INT J PEPT RES THER,0.905
BIOCATALYSIS AND BIOTRANSFORMATION,BIOCATAL BIOTRANSFOR,0.892
GENERAL PHYSIOLOGY AND BIOPHYSICS,GEN PHYSIOL BIOPHYS,0.892
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,NUCLEOS NUCLEOT NUCL,0.876
FLY,FLY,0.867
Journal of Huazhong University of Science and Technology-Medical Sciences,J HUAZHONG U SCI-MED,0.838
JOURNAL OF FOOD BIOCHEMISTRY,J FOOD BIOCHEM,0.832
Clinical Lipidology,CLIN LIPIDOL,0.769
GENETICS AND MOLECULAR RESEARCH,GENET MOL RES,0.764
HEMOGLOBIN,HEMOGLOBIN,0.747
Journal of Medical Biochemistry,J MED BIOCHEM,0.742
JOURNAL OF CARBOHYDRATE CHEMISTRY,J CARBOHYD CHEM,0.738
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,Z NATURFORSCH C,0.709
